,track_id,track_name,artist_name,release_date,danceability,energy,valence,tempo,duration_ms
158,7tpQKESC87Vrfw4qTutmFU,Help Me Lose My Mind,London Grammar,2013-01-01,0.778,0.631,0.333,109.021,244360
159,0uxTfF35vomzEtb7sHlP1N,3دقات,Abu,2017-10-11,0.826,0.71,0.647,117.999,275228
160,62R1MRux3R0v2cngA2xdJn,Would I Lie To You?,Various Artists,2008-04-28,0.738,0.647,0.709,101.098,204387
161,1XuccRABkfUVB4FjSVhjL1,Alone Again Or - 2015 Remastered Version,Love,1967,0.318,0.303,0.226,174.254,197275
162,7shU2ah5hpW9QoaJuwkHdC,The Guitar Man,Cake,2004-10-04,0.521,0.578,0.726,155.902,233160
163,0kYIsBXBR8bg8JN6xuqIDK,Since You Been Gone,Various Artists,2003-01-01,0.725,0.68,0.934,120.875,194000
164,09kNb4XmBu2k6OYjvLah6i,Sleepyhouse,Blind Melon,1992-01-01,0.365,0.506,0.312,76.037,268800
165,3SFWCLORNGjFCwBfv3ysgy,Shine on Me,Dan Auerbach,2017-06-02,0.429,0.893,0.952,152.816,197680
166,3FGcQkWQlkeB82RdZwlw8V,Kiss You All Over,Exile,1983,0.741,0.267,0.497,102.428,214400
167,4ofvoCdXq99vpMZO4Cfp8x,Pray For Me (with Kendrick Lamar),The Weeknd,2018-02-02,0.728,0.668,0.162,100.537,211440
168,7y4r5gdIOSfhAxDV8LVnzq,They Don't Own Me,Richard Ashcroft,2016-05-20,0.462,0.725,0.7,78.065,348653
169,0MhiU4WOAHDVdvmOSvpHHl,Soulfire,Little Steven,2017-05-19,0.544,0.887,0.688,110.976,274253
170,5Wb2so09oeGK5YAaGJwt13,Take Me Out,Scissor Sisters,2004-01-01,0.499,0.563,0.378,163.022,272387
171,5TAf4lnZCZTLlZHNZMLFLi,I Try,Macy Gray,1999-07-03,0.593,0.642,0.736,76.403,239440
172,14ldz51B9dRHcRKT5vZU62,Stay - Live,Jackson Browne,1977-12-06,0.611,0.798,0.781,107.678,203840
173,56kzHXfgc6heUbCCFHe2cQ,Dreadlock Holidays,Various Artists,2016-10-07,0.776,0.596,0.907,104.735,298371
174,4NjyI3qjCRv3XZXgcISc8E,Watching The Wheels,John Lennon,2010-10-04,0.669,0.511,0.398,82.865,211573
175,6N7gPTru90HYLRUIVDQ185,More Than This - Remastered,Roxy Music,1982-05-01,0.653,0.666,0.765,128.505,270652
176,7wsgeXJQTOTyZCn8F0SqFK,National Express,The Divine Comedy,1998-08-31,0.254,0.814,0.556,185.23,305667
177,6MLHWAXvXvBnR3PP6Zo62f,Dignity,Deacon Blue,2009-03-26,0.6,0.687,0.595,105.11,239787
178,5IKLwqBQG6KU6MP2zP80Nu,We Are Family,Sister Sledge,1979-02-15,0.784,0.893,0.819,118.738,216733
179,5ZBSB6VUppEsROi81im6cn,I Was Born To Love You,Freddie Mercury,2016-09-02,0.577,0.674,0.356,139.436,219373
180,6Hzjnic0Yyb7NMCIbD8VoH,Desiree,Sean Rowe,2014-09-09,0.78,0.641,0.901,122.255,278333
181,2HL7EWAjEm5Bhpr1iWHA4C,Cold Little Heart - Radio Edit,Michael Kiwanuka,2017-02-24,0.638,0.574,0.681,110.256,210300
182,3DRa4VYrfcvvZsbpOIHPdr,How I Got Over,Reef,2016-03-11,0.531,0.921,0.821,80.005,197494
183,6JnRLa50GuHzF0ucg9AGMI,Wild Love,James Bay,2018-02-08,0.443,0.608,0.23,70.124,197413
184,2dqg6jHb6ubKaXi4GbnYi0,Middle of Love,Beverley Knight,2016-06-10,0.744,0.758,0.431,108.13,250719
185,0kcEK7YuNNfE7jiTnXS1cm,Atlantis,Donovan,1969-08-11,0.326,0.313,0.344,76.785,302640
